ticker,company,theme,current_price_ref,market_cap_ref_usd_b,ttm_revenue_ref_usd_b,confirmed_orders_or_arr,next_12m_revenue_base_usd_b,next_24m_revenue_base_usd_b,confirmed_case_market_cap_usd_b,base_case_market_cap_usd_b,bull_case_market_cap_usd_b,valuation_reality_score,valuation_verdict,trade_posture_override,source_note,last_updated
US.LITE,Lumentum,AI optical components,140-170,10-12,1.4-1.7,"Datacenter optical component recovery and AI transceiver supply-chain demand",1.8-2.2,2.5-3.2,8-11,12-18,22-30,66,FAIR_BUT_NEEDS_PULLBACK,可复核/等买点,"光通信主线相关度高，估值比高弹性小票温和；需确认订单和毛利率修复",2026-05-16
US.AMKR,Amkor Technology,advanced packaging/OSAT,28-35,7-9,6.0-6.8,"Advanced packaging and OSAT AI optionality, but growth conversion still uneven",6.5-7.5,7.5-9.0,6-8,9-12,14-18,61,PRICED_FOR_BASE_CASE,观察/等确认,"先进封装方向正确，但利润弹性和客户结构需要验证；不应只因主题买入",2026-05-16
US.ASX,ASE Technology,advanced packaging/OSAT,12-15,25-32,18-22,"Advanced packaging and AI OSAT capacity cycle, broader mature-cycle exposure remains",20-24,24-30,24-30,32-45,50-65,68,FAIR_BUT_NEEDS_PULLBACK,可复核/等买点,"OSAT 龙头属性更强，估值相对不极端；适合 6月1日补齐 K 线后纳入正式复核",2026-05-16
US.TSLA,Tesla,robotics/embodied AI sentinel,400-460,1300-1500,95-105,"Robotaxi/Optimus/FSD optionality large, auto margin and delivery cycle mixed",100-115,120-150,700-900,1000-1400,1800-2500,42,TOO_MUCH_NARRATIVE_NOT_ENOUGH_NUMBERS,主题哨兵/不追高,"机器人主线哨兵价值高，但当前估值更多依赖远期叙事；Radar 用来识别主线，不等于买点",2026-05-16
US.ROK,Rockwell Automation,robotics/industrial automation,300-340,34-39,8.0-9.0,"Industrial automation recovery and robotics capex optionality",8.5-9.5,9.5-11.0,28-35,36-48,55-70,59,PRICED_FOR_BASE_CASE,观察/等确认,"机器人扩散二阶样本，基本面弹性慢；需要订单周期和自动化需求确认",2026-05-16
US.ETN,Eaton,power/automation infrastructure,360-410,140-160,26-30,"Power infrastructure, data-center electrical demand and automation adjacency",31-36,38-45,120-150,160-220,240-300,67,FAIR_BUT_NEEDS_PULLBACK,可复核/等买点,"电力和数据中心基础设施确定性较强，但大市值弹性有限；适合作为低波动扩散候选",2026-05-16
US.HON,Honeywell,industrial automation/aerospace,230-260,145-165,39-42,"Automation, aerospace and industrial recovery; robotics exposure indirect",42-46,46-52,120-150,160-210,230-280,55,PRICED_FOR_BASE_CASE,观察/等确认,"质量较稳但机器人主题纯度不高；更适合主题确认而非高弹性进攻",2026-05-16
US.IR,Ingersoll Rand,industrial automation/infrastructure,85-105,34-42,7.0-8.0,"Industrial equipment and automation-adjacent demand; AI/robotics link indirect",8.0-9.0,9.0-10.5,28-36,38-50,55-70,58,PRICED_FOR_BASE_CASE,观察/等确认,"工业质量股，主题扩散意义高于短期弹性；需要价格趋势和订单确认",2026-05-16
US.GOOGL,Alphabet,13F consensus AI platform/value quality,396.17,4810,402.8,"Q1 2026 revenue 109.9B; Google Cloud revenue 20.0B +63% YoY; Search still strong; AI capex heavy",470,545,1800-2500,2800-3400,3800-4500,68,FAIR_BUT_NEEDS_PULLBACK,长期监控/主仓不买/V6可按系统持有,"好公司但当前偏贵；主仓不买，V6可按系统规则持有；250以下重新复核，190-220才是真正击球区；需做GAAP FCFF+Normalized Owner Earnings双轨估值",2026-05-16
US.MSFT,Microsoft,13F consensus AI platform/enterprise software,待更新,待更新,待更新,"FY26 Q3 revenue 82.9B +18%; operating income 38.4B +20%; Microsoft Cloud revenue 54.5B +29%",待更新,待更新,待更新,待更新,待更新,68,FAIR_BUT_NEEDS_PULLBACK,质量池/等估值,"生意质量极高但通常估值很满；作为GOOGL/ADBE/mega tech对标，不因13F共识直接追买",2026-05-16
US.MCO,Moody's,13F consensus rating/data oligopoly,待更新,待更新,待更新,"Q1 2026 record results; full-year 2026 revenue growth guided high-single-digit; adjusted EPS guide 16.40-17.00",待更新,待更新,待更新,待更新,待更新,72,FAIR_BUT_NEEDS_PULLBACK,价值质量池/等好价格,"评级与数据寡头高度符合价值投资主哲学；适合建立长期估值模板，等待市场回撤或信用周期担忧给买点",2026-05-16
US.SPGI,S&P Global,13F consensus rating/index/data oligopoly,待更新,待更新,待更新,"Q1 2026 revenue 4.171B +10%; GAAP net income 1.395B +28%; ratings/index/data ecosystem",待更新,待更新,待更新,待更新,待更新,72,FAIR_BUT_NEEDS_PULLBACK,价值质量池/等好价格,"与MCO同属高质量金融数据基础设施；适合做长期质量池和低相关sleeve候选，不急于行动",2026-05-16
US.TSM,TSMC,13F consensus AI manufacturing anchor,待更新,待更新,待更新,"Q1 2026 revenue NT$1.134T; gross margin 66.2%; operating margin 58.1%; AI/HPC demand strong",待更新,待更新,待更新,待更新,待更新,70,FAIR_BUT_NEEDS_PULLBACK,V6-B core_reaccel复核,"AI制造层最强锚之一；适合6月1日后进入V6-B point-in-time正式验证，但需地缘和capex折扣",2026-05-16
US.AVGO,Broadcom,13F consensus AI networking/custom ASIC,待更新,待更新,待更新,"FY26 Q1 revenue 19.3B +29%; AI revenue 8.4B +106%; Q2 revenue guide about 22B",待更新,待更新,待更新,待更新,待更新,66,PRICED_FOR_BASE_CASE,V6已覆盖/不额外追,"AI networking/custom ASIC确定性强，但V6-A已有相关暴露；主仓额外买入会提高AI infrastructure集中度",2026-05-16
US.MA,Mastercard,13F consensus payment network quality,待更新,待更新,待更新,"Global payment network quality compounder; included for 13F consensus quality pool review",待更新,待更新,待更新,待更新,待更新,64,PRICED_FOR_BASE_CASE,质量池/等估值,"支付网络长期质量高，但本轮优先级低于GOOGL/MCO/SPGI；只做质量池观察",2026-05-16
US.V,Visa,13F consensus payment network quality,待更新,待更新,待更新,"Global payment network quality compounder; included for 13F consensus quality pool review",待更新,待更新,待更新,待更新,待更新,64,PRICED_FOR_BASE_CASE,质量池/等估值,"支付网络长期质量高，但本轮优先级低于GOOGL/MCO/SPGI；只做质量池观察",2026-05-16
US.NEE,NextEra Energy,AI power infrastructure / regulated utility plus Dominion data-center load,89-91,187-190,29-30,"Dominion transaction pending; combined large-load pipeline >130GW; combined rate base about 138B; not yet fully approved/contracted",31-34,34-38,130-145,165-185,220-250,63,FAIR_BUT_NEEDS_PULLBACK,Research/P1观察/不买正股,"AI Infrastructure SOP v2.7: risk-adjusted value 84-96; initial strike zone 72-78; AI option requires Dominion approval, large-load tariff, rate base/capex recovery evidence; current price near fair value, not enough margin of safety",2026-05-20
